Código do SIORG,Nome,Sigla,Tipo de Instituição,Pais,Estado,Cidade,Esfera,Poder,Natureza Jurídica,SISP,CNPJ
445,Centro Federal de Educação Tecnológica de Minas Gerais ,CEFET-MG,Pública,Brasil,MG,Belo Horizonte,Federal,Executivo,Autarquia,Sim,17.220.203/0001-96
256,Colégio Pedro II ,CP II,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,42.414.284/0001-02
48,Comando da Aeronáutica ,COMAER,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.429/0001-00
185,Comando da Marinha ,CMAR,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.502/0001-44
94,Comando do Exército ,CEX,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.452/0001-03
478,Comissão de Valores Mobiliários ,CVM,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,29.507.878/0002-80
223,Comissão Nacional de Energia Nuclear ,CNEM,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,00.402.552/0001-26
322,Conselho Administrativo de Defesa Econômica,CADE,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.418.993/0001-16
8,Conselho Nacional de Desenvolvimento Científico e Tecnológico,CNPG,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação,Sim,33.654.831/0001-36
3620,Controladoria Geral da União ,CGU,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,05.914.685/0001-03
250,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior ,CAPES,Pública,Brasil,DF,Brasilia,Federal,Executivo,Empresa Pública,Sim,00.889.834/0001-08
324,Departamento de Polícia Federal ,DPF,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,00.394.494/0014-50
704,Departamento de Polícia Rodoviária Federal ,DPRF,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,00.394.494/0014-50
54844,Departamento nacional de Infraestrutura de Transportes,DNIT,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,04.892.707/0001-00
367,Departamento Nacional de Obras Contra as Secas ,DNOCS,Pública,Brasil,CE,Fortaleza,Federal,Executivo,Autarquia,Sim,00.043.711/0001-43
1918,Departamento Nacional de Produção Mineral ,DNPM,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,00.381.056/0001-33
86567,Empresa Brasil de Comunicação,EBC,Pública,Brasil,DF,Brasilia,Federal,Executivo,Empresa Pública,Sim,09.168.704/0001-42
119672,Empresa de Planejamento e Logística ,EPL,Pública,Brasil,DF,Brasilia,Federal,Executivo,Empresa Pública,Sim,15.763.423/0001-30
1013,Empresa Gerencial de Projetos Navais ,EMGEPRON,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Empresa Pública,Sim,27.816.487/0001-31
344,Escola de Administração Fazendária ,ESAF,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,02.317.176/0001-05
299,Fundação Alexandre de Gusmão,FUNAG,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação,Sim,00.662.197/0001-24
984,Fundação Biblioteca Nacional ,FBN,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Fundação,Sim,40.176.679/0001-99
261,Fundação Casa de Rui Barbosa ,FCRB,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Fundação,Sim,42.519.488/0001-08
1782,Fundação Cultural Palmares ,FCP,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação,Sim,32.901.688/0001-77
956,Fundação Escola Nacional de Administração Pública ,ENAP,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação,Sim,00.627.612/0001-09
3,Fundação Instituto Brasileiro de Geografia e Estátistica ,IBGE,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Fundação,Sim,33.787.094/0001-40
7,Fundação Instituto de Pesquisa Econômica Aplicada ,IPEA,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação,Sim,03.892.175/0001-00
257,Fundação Joaquim Nabuco ,FUNDAJ,Pública,Brasil,PE,Recife,Federal,Executivo,Fundação,Sim,09.773.169/0001-59
221,"Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho ",FUNDACENTRO,Pública,Brasil,SP,São Paulo,Federal,Executivo,Fundação,Sim,62.428.073/0001-36
2330,Fundação Nacional de Artes ,FUNARTE,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Fundação,Sim,26.963.660/0002-42
2207,Fundação Nacional de Saúde ,FUNASA,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação,Sim,26.989.350/0001-16
173,Fundação Nacional do Índio ,FUNAI,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação,Sim,00.059.311/0001-26
315,Fundação Oswaldo Cruz ,FIOCRUZ,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Fundação,Sim,33.781.055/0012-98
470,Fundação Universidade de Brasília,UNB,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação,Sim,00.038.174/0001-43
465,Fundação Universidade do Amazonas ,UFAM,Pública,Brasil,AM,Manaus,Federal,Executivo,Fundação,Sim,04.378.626/0001-97
84712,Fundação Universidade Federal da Grande Dourados ,UFGD,Pública,Brasil,MS,Dourados,Federal,Executivo,Fundação,Sim,07.775.847/0001-97
970,Fundação Universidade Federal de Ciências da Saúde de Porto Alegre ,UFCSPA,Pública,Brasil,RS,Porto Alegre,Federal,Executivo,Fundação,Sim,92.967.595/0001-77
471,Fundação Universidade de Mato Grosso ,UFMT,Pública,Brasil,MT,Cuiabá,Federal,Executivo,Fundação,Sim,33.004.540/0001-00
827,Fundação Universidade Federal do Mato Grosso do Sul ,UFMS,Pública,Brasil,MS,Campo Grande,Federal,Executivo,Fundação,Sim,15.461.510/0001-33
477,Fundação Universidade Federal de Pelotas ,UFPel,Pública,Brasil,RS,Pelotas,Federal,Executivo,Fundação,Sim,92.242.080/0001-00
1209,Fundação Universidade Federal de Rondônia ,UNIR,Pública,Brasil,RO,Porto Velho,Federal,Executivo,Fundação,Sim,04.418.943/0001-90
1605,Fundação Universidade Federal de Roraima ,UFRR,Pública,Brasil,RR,Boa Vista,Federal,Executivo,Fundação,Sim,34.792.077/0001-63
475,Fundação Universidade Federal de São Carlos ,UFSCar,Pública,Brasil,SP,Sorocaba,Federal,Executivo,Fundação,Sim,45.358.058/0001-40
1734,Fundação Universidade Federal de São João Del Rei ,FUNREI,Pública,Brasil,MG,São João del-Rei,Federal,Executivo,Fundação,Sim,00.394.445/0518-65
469,Fundação Universidade Federal de Sergipe ,UFS,Pública,Brasil,SE,São Cristóvão,Federal,Executivo,Fundação,Sim,13.031.547/0001-04
474,Fundação Universidade de Viçosa ,UFV,Pública,Brasil,MG,Viçosa,Federal,Executivo,Fundação,Sim,25.944.455/0001-96
84703,Fundação Universidade Federal do ABC ,UFABC,Pública,Brasil,SP,Santo André,Federal,Executivo,Fundação,Sim,07.722.779/0001-06
466,Fundação Universidade Federal do Acre ,UFAC,Pública,Brasil,AC,Rio Branco,Federal,Executivo,Fundação,Sim,04.071.106/0001-37
1710,Fundação Universidade Federal do Amapá,UNIFAP,Pública,Brasil,AP,Macapá,Federal,Executivo,Fundação,Sim,34.868.257/0001-81
467,Fundação Universidade Federal do Maranhão ,UFMA,Pública,Brasil,MA,São Luis,Federal,Executivo,Fundação,Sim,06.279.103/0001-19
94739,Fundação Universidade Federal do Pampa ,UNIPAMPA,Pública,Brasil,RS,Bagé,Federal,Executivo,Fundação,Sim,09.341.233/0001-22
468,Fundação Universidade Federal do Piauí ,UFPI,Pública,Brasil,PI,Teresina,Federal,Executivo,Fundação,Sim,06.517.387/0001-34
476,Fundação Universidade do Rio Grande ,FURG,Pública,Brasil,RS,Rio Grande,Federal,Executivo,Fundação,Sim,94.877.586/0001-10
52702,Fundação Universidade Federal do Tocantins ,UFT,Pública,Brasil,TO,Palmas,Federal,Executivo,Fundação,Sim,05.149.726/0001-04
69624,Fundação Universidade Federal do Vale do São Francisco ,UNIVASF,Pública,Brasil,PE,Petrolina,Federal,Executivo,Fundação,Sim,05.440.725/0001-14
253,Fundo Nacional de Desenvolvimento da Educação ,FNDE,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,00.378.257/0001-81
35,Hospital das Forças Armadas ,HFA,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,03.568.867/0001-36
332,Imprensa Nacional ,IN,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,04.196.645/0001-00
12,Instituto Brasileiro de Informação em Ciência e Tecnologia ,IBICT,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,04.082.993/0001-49
100584,Instituto Brasileiro de Museus ,IBRAM,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,10.898.596/0001-42
241,Instituto Brasileiro de Turismo ,EMBRATUR,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,33.741.794/0001-01
1812,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis ,IBAMA,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,03.659.166/0028-22
91842,Instituto Chico Mendes de Conservação da Biodiversidade ,ICMBio,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,08.829.974/0001-94
1913,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro ,JBRJ,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,04.936.616/0001-20
2045,Instituto do Patrimônio Histórico e Artístico Nacional ,IPHAN,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,26.474.056/0001-71
456,"Instituto Federal de Educação, Ciência e Tecnologia  Sul-Rio-Grandense",IFSUL,Pública,Brasil,RS,Pelotas,Federal,Executivo,Autarquia,Sim,10.729.992/0004-99
100920,"Instituto Federal de Educação, Ciência e Tecnologia Baiano ",IFBAIANO,Pública,Brasil,BA,Salvador,Federal,Executivo,Autarquia,Sim,10.724.903/0001-79
100919,"Instituto Federal de Educação, Ciência e Tecnologia Catarinense ",IFC,Pública,Brasil,SO,Blumenau,Federal,Executivo,Autarquia,Sim,10.635.424/0001-86
444,"Instituto Federal de Educação, Ciência e Tecnologia da Bahia ",IFBA ,Pública,Brasil,BA,Salvador,Federal,Executivo,Autarquia,Sim,10.764.307/0001-12
100905,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba ",IFPB,Pública,Brasil,PB,João Pessoa,Federal,Executivo,Autarquia,Sim,10.783.898/0001-75
100900,"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas ",IFAL,Pública,Brasil,AL,Maceió,Federal,Executivo,Autarquia,Sim,10.825.373/0001-55
94430,"Instituto Federal de Educação, Ciência e Tecnologia de Brasília ",IFB,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,10.791.831/0001-82
451,"Instituto Federal de Educação, Ciência e Tecnologia de Goiás ",IFGO,Pública,Brasil,GO,Goiânia,Federal,Executivo,Autarquia,Sim,10.870.883/0001-44
100914,"Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais ",IFMG,Pública,Brasil,MG,Belo Horizonte,Federal,Executivo,Autarquia,Sim,10.626.896/0001-72
100922,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco ",IFPE,Pública,Brasil,PE,Recife,Federal,Executivo,Autarquia,Sim,10.767.239/0001-45
100907,"Instituto Federal de Educação, Ciência e Tecnologia de Rondônia ",IFRO,Pública,Brasil,RO,Porto Velho,Federal,Executivo,Autarquia,Sim,10.817.343/0001-05
3561,"Instituto Federal de Educação, Ciência e Tecnologia de Roraima ",IFRR,Pública,Brasil,RR,Boa Vista,Federal,Executivo,Autarquia,Sim,10.839.508/0001-31
455,"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina ",IFSC,Pública,Brasil,SC,Florianópolis,Federal,Executivo,Autarquia,Sim,11.402.887/0001-60
453,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",IFSP,Pública,Brasil,SP,São Paulo,Federal,Executivo,Autarquia,Sim,10.882.594/0001-65
100909,"Instituto Federal de Educação, Ciência e Tecnologia de Sergipe ",IFS,Pública,Brasil,SE,Aracaju,Federal,Executivo,Autarquia,Sim,10.728.444/0001-00
94427,"Instituto Federal de Educação, Ciência e Tecnologia do Acre ",IFAC,Pública,Brasil,AC,Rio Branco,Federal,Executivo,Autarquia,Sim,10.918.674/0001-23
94428,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá ",IFAP,Pública,Brasil,AP,Macapá,Federal,Executivo,Autarquia,Sim,10.820.882/0001-95
100910,"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas ",IFAM,Pública,Brasil,AM,Manaus,Federal,Executivo,Autarquia,Sim,10.792.928/0001-00
100911,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará ",IFCE,Pública,Brasil,CE,Fortaleza,Federal,Executivo,Autarquia,Sim,10.744.098/0001-45
