Código do SIORG,Nome,Sigla,Tipo de Instituição,Pais,Estado,Cidade,Esfera,Poder,Natureza Jurídica,SISP,CNPJ
244,Ministério da Educação ,MEC,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.445/0001-01
1929,Ministério da Fazenda ,MF,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.460/0185-12
42670,Ministério da Integração Nacional ,MI ,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,03.353.358/0001-96
316,Ministério da Justiça ,MJ,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.494/0018-84
72083,Ministério da Pesca e Aquicultura ,MPA,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,05.482.692/0001-75
1930,Ministério da Previdência Social ,MPS,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.528/0001-92
304,Ministério da Saúde ,MS,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.544/0127-87
42672,Ministério das Cidades ,Mcidades,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,05.465.986/0001-99
3159,Ministério das Comunicações ,MC,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.437/0004-08
263,Ministério das Relações Exteriores ,MRE,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.437/0004-08
2852,Ministério de Minas e Energia ,MME,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,37.115.383/0001-53
17125,Ministério do Desenvolvimento Agrário ,MDA,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,01.612.452/0001-97
1945,Ministério do Desenvolvimento Social e Combate à Fome ,MDS,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,05.756.246/0001-01
3162,"Ministério do Desenvolvimento, Indústria e Comércio Exterior ",MDIC,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.478/0001-43
36670,Ministério do Esporte ,ME ,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,28.523.215/0001-06
1927,Ministério do Meio Ambiente ,MMA,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.411/0043-68
2981,"Ministério do Planejamento, Orçamento e Gestão ",MPOG,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.489.828/0002-36
2844,Ministério do Trabalho e Emprego ,MTE,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,37.115.367/0001-60
72084,Ministério do Turismo ,Mtur,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,05.457.283/0001-19
2846,Ministério dos Transportes,MT,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,37.115.342/0032-63
24755,Museu de Astronomia e Ciências Afins ,MAST,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Administração Direta,Sim,16.714.695/0001-03
24712,Museu Paraense Emílio Goeldi ,MPEG,Pública,Brasil,PA,Belém,Federal,Executivo,Administração Direta,Sim,04.108.782/0001-38
346,Observatório Nacional ,ON,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Administração Direta,Sim,04.053.755/0001-05
78,Procuradoria-Geral da Fazenda Nacional,PGFN,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.460/0216-53
77,Secretaria da Receita Federal ,SRF,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.460/0058-53
115257,Secretaria de Aviação Civil ,SAC,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,07.947.821/0001-89
1801,Secretaria de Direitos Humanos ,SDH,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,05.478.625/0001-87
3495,Secretaria de Logística e Tecnologia da Informação ,SLTI,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,10.498.974/0001-09
119335,Secretaria Nacional do Consumidor ,SENACON,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.494/0005-60
2032,Secretaria de Orçamento Federal ,SOF,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.489.828/0008-21
92748,Secretaria de Portos da Presidência da República,SEP,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,08.855.874/0001-32
1986,Secretaria do Patrimônio da União ,SPU,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.489.828/0009-02
1696,Secretaria do Tesouro Nacional ,STN,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.460/0409-50
42673,Secretaria-Geral da Presidência da República,SGPR,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,07.490.910/0001-49
89539,Serviço Florestal Brasileiro ,SFB,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,37.115.375/0008-83
166,Superintendência da Zona Franca de Manaus ,SUFRAMA,Pública,Brasil,AM,Manaus,Federal,Executivo,Autarquia,Sim,04.407.029/0001-43
235,Superintendência de Seguros Privados ,SUSEP,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,42.354.068/0008-95
91138,Superintendência do Desenvolvimento da Amazônia ,SUDAM,Pública,Brasil,PA,Belém,Federal,Executivo,Autarquia,Sim,09.203.665/0001-77
100113,Superintendência do Desenvolvimento do Centro-Oeste ,SUDECO,Pública,Brasil,DF,Brasília,Federal,Executivo,Autarquia,Sim,13.802.028/0001-94
91144,Superintendência do Desenvolvimento do Nordeste ,SUDENE,Pública,Brasil,PE,Recife,Federal,Executivo,Autarquia,Sim,09.263.130/0001-91
105915,Superintendência Nacional de Previdência Complementar ,PREVIC,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,07.290.290/0004-47
109912,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,UNILAB,Pública,Brasil,CE,Fortaleza,Federal,Executivo,Autarquia,Sim,12.397.930/0001-00
421,Universidade Federal da Bahia ,UFBA,Pública,Brasil,BA,Salvador,Federal,Executivo,Autarquia,Sim,15.180.714/0001-04
103730,Universidade Federal da Fronteira Sul ,UFFS,Pública,Brasil,SC,Chapecó,Federal,Executivo,Autarquia,Sim,11.234.780/0001-50
105793,Universidade Federal da Integração Latino-Americana ,UNILA ,Pública,Brasil,PR,Foz Do Iguaçu,Federal,Executivo,Autarquia,Sim,11.806.275/0001-33
419,Universidade Federal da Paraíba ,UFPB,Pública,Brasil,PB,João Pessoa,Federal,Executivo,Autarquia,Sim,24.098.477/0001-10
420,Universidade Federal de Alagoas ,UFAL,Pública,Brasil,AL,Maceió,Federal,Executivo,Autarquia,Sim,24.464.109/0001-48
461,Universidade Federal de Alfenas ,UNIFAL-MG,Pública,Brasil,MG,Alfenas,Federal,Executivo,Autarquia,Sim,17.879.859/0001-15
67671,Universidade Federal de Campina Grande ,UFCG,Pública,Brasil,PB,Campina Grande,Federal,Executivo,Autarquia,Sim,05.055.128/0001-76
422,Universidade Federal de Goiás ,UFG,Pública,Brasil,GO,Goiânia,Federal,Executivo,Autarquia,Sim,01.567.601/0001-43
462,Universidade Federal de Itajubá ,UNIFEI,Pública,Brasil,MG,Itajubá,Federal,Executivo,Autarquia,Sim,21.040.001/0001-30
424,Universidade Federal de Juiz de Fora ,UFJF,Pública,Brasil,MG,Juiz de Fora,Federal,Executivo,Autarquia,Sim,21.195.755/0001-69
463,Universidade Federal de Lavras ,UFLA,Pública,Brasil,MG,Lavras,Federal,Executivo,Autarquia,Sim,22.078.679/0001-74
423,Universidade Federal de Minas Gerais ,UFMG,Pública,Brasil,MG,Belo Horizonte,Federal,Executivo,Autarquia,Sim,17.217.985/0001-04
473,Universidade Federal de Ouro Preto ,UFOP,Pública,Brasil,MG,Ouro Preto,Federal,Executivo,Autarquia,Sim,23.070.659/0001-10
418,Universidade Federal de Pernambuco ,UFPE,Pública,Brasil,PE,Recife,Federal,Executivo,Autarquia,Sim,24.134.488/0001-08
429,Universidade Federal de Santa Catarina ,UFSC,Pública,Brasil,SC,Florianópolis,Federal,Executivo,Autarquia,Sim,83.899.526/0001-82
431,Universidade Federal de Santa Maria ,UFSM,Pública,Brasil,RS,Santa Maria,Federal,Executivo,Autarquia,Sim,95.591.764/0001-05
464,Universidade Federal de São Paulo ,UNIFESP,Pública,Brasil,SP,São Paulo,Federal,Executivo,Autarquia,Sim,60.453.032/0001-74
472,Universidade Federal de Uberlândia ,UFU,Pública,Brasil,MG,Uberlândia,Federal,Executivo,Autarquia,Sim,25.648.387/0001-18
122391,Universidade Federal do Cariri ,UFCA,Pública,Brasil,CE,Juazeiro do Norte,Federal,Executivo,Autarquia,Sim,18.621.825/0001-99
416,Universidade Federal do Ceará ,UFC,Pública,Brasil,CE,Fortaleza,Federal,Executivo,Autarquia,Sim,07.272.636/0001-31
425,Universidade Federal do Espírito Santo ,UFES,Pública,Brasil,ES,Vitória,Federal,Executivo,Autarquia,Sim,32.479.123/0001-43
260,Universidade Federal do Estado do Rio de Janeiro ,UNIRIO,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,34.023.077/0001-07
